Mod:Item:MetaData, Localized Name
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Stone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, tile.null.name
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
IC2:blockOreCopper, ic2.blockOreCopper.name
IC2:blockOreTin, ic2.blockOreTin.name
IC2:blockOreUran, ic2.blockOreUran.name
IC2:blockOreLead, ic2.blockOreLead.name
IC2:blockRubWood, ic2.blockRubWood.name
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
IC2:blockRubLeaves, ic2.blockRubLeaves.name
IC2:blockRubSapling, ic2.blockRubSapling.name
IC2:blockHarz, ic2.blockHarz.name
IC2:blockRubber, ic2.blockRubber.name
IC2:blockFenceIron, ic2.blockFenceIron.name
IC2:blockAlloy, ic2.blockAlloy.name
IC2:blockBasalt, ic2.blockBasalt.name
IC2:blockAlloyGlass, ic2.blockAlloyGlass.name
IC2:blockDoorAlloy, tile.blockDoorAlloy.name
IC2:blockReinforcedFoam, ic2.blockReinforcedFoam.name
IC2:blockFoam, ic2.blockFoam.name
IC2:blockWall, ic2.blockWall.name
IC2:blockScaffold, ic2.blockScaffold.name
IC2:blockIronScaffold, ic2.blockIronScaffold.name
IC2:blockMetal:0, ic2.blockMetalCopper
IC2:blockMetal:1, ic2.blockMetalTin
IC2:blockMetal:2, ic2.blockMetalBronze
IC2:blockMetal:3, ic2.blockMetalUranium
IC2:blockMetal:4, ic2.blockMetalLead
IC2:blockMetal:5, ic2.blockMetalAdvIron
IC2:blockCable, ic2.blockCable.name
IC2:blockKineticGenerator:0, ic2.blockWindKineticGenerator
IC2:blockKineticGenerator:1, ic2.blockSteamKineticGenerator
IC2:blockKineticGenerator:2, ic2.blockElectricKineticGenerator
IC2:blockKineticGenerator:3, ic2.blockManualKineticGenerator
IC2:blockKineticGenerator:4, ic2.blockWaterKineticGenerator
IC2:blockKineticGenerator:5, ic2.blockStirlingKineticGenerator
IC2:blockHeatGenerator:0, ic2.blockSolidHeatGenerator
IC2:blockHeatGenerator:1, ic2.blockFluidHeatGenerator
IC2:blockHeatGenerator:2, ic2.blockRTHeatGenerator
IC2:blockHeatGenerator:3, ic2.blockElectricHeatGenerator
IC2:blockGenerator:0, RTG POWARZ
IC2:blockGenerator:1, ic2.blockGeoGenerator
IC2:blockGenerator:2, ic2.blockWaterGenerator
IC2:blockGenerator:3, ic2.blockSolarGenerator
IC2:blockGenerator:4, ic2.blockWindGenerator
IC2:blockGenerator:5, ic2.blockNuclearReactor
IC2:blockGenerator:6, ic2.blockRTGenerator
IC2:blockGenerator:7, ic2.blockSemifluidGenerator
IC2:blockGenerator:8, ic2.blockStirlingGenerator
IC2:blockGenerator:9, ic2.blockKineticGenerator
IC2:blockReactorChamber, ic2.blockReactorChamber.name
IC2:blockReactorFluidPort, ic2.blockReactorFluidPort.name
IC2:blockReactorAccessHatch, ic2.blockReactorAccessHatch.name
IC2:blockReactorRedstonePort, ic2.blockReactorRedstonePort.name
IC2:blockreactorvessel, ic2.blockreactorvessel.name
IC2:blockElectric:3, ic2.blockTransformerLV
IC2:blockElectric:4, ic2.blockTransformerMV
IC2:blockElectric:5, ic2.blockTransformerHV
IC2:blockElectric:6, ic2.blockTransformerEV
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockMachine:0, ic2.blockMachine
IC2:blockMachine:1, ic2.blockIronFurnace
IC2:blockMachine:2, ic2.blockElecFurnace
IC2:blockMachine:3, ic2.blockMacerator
IC2:blockMachine:4, ic2.blockExtractor
IC2:blockMachine:5, ic2.blockCompressor
IC2:blockMachine:6, ic2.blockCanner
IC2:blockMachine:7, ic2.blockMiner
IC2:blockMachine:8, ic2.blockPump
IC2:blockMachine:9, ic2.blockMagnetizer
IC2:blockMachine:10, ic2.blockElectrolyzer
IC2:blockMachine:11, ic2.blockRecycler
IC2:blockMachine:12, ic2.blockAdvMachine
IC2:blockMachine:13, ic2.blockInduction
IC2:blockMachine:14, ic2.blockMatter
IC2:blockMachine:15, ic2.blockTerra
IC2:blockMachine2:0, ic2.blockTeleporter
IC2:blockMachine2:1, ic2.blockTesla
IC2:blockMachine2:2, ic2.blockCropmatron
IC2:blockMachine2:3, ic2.blockCentrifuge
IC2:blockMachine2:4, ic2.blockMetalFormer
IC2:blockMachine2:5, ic2.blockOreWashingPlant
IC2:blockMachine2:6, ic2.blockPatternStorage
IC2:blockMachine2:7, ic2.blockScanner
IC2:blockMachine2:8, ic2.blockReplicator
IC2:blockMachine2:9, ic2.blockSolidCanner
IC2:blockMachine2:10, ic2.blockFluidBottler
IC2:blockMachine2:11, ic2.blockAdvMiner
IC2:blockMachine2:12, ic2.blockLiquidHeatExchanger
IC2:blockMachine2:13, ic2.blockFermenter
IC2:blockMachine2:14, ic2.blockFluidRegulator
IC2:blockMachine2:15, ic2.blockCondenser
IC2:blockMachine3:0, ic2.blockSteamGenerator
IC2:blockMachine3:1, ic2.blockBlastFurnace
IC2:blockMachine3:2, ic2.blockBlockCutter
IC2:blockMachine3:3, ic2.blockSolarDestiller
IC2:blockMachine3:4, ic2.blockFluidDistributor
IC2:blockMachine3:5, ic2.blockSortingMachine
IC2:blockMachine3:6, ic2.blockItemBuffer
IC2:blockMachine3:7, ic2.blockCropHavester
IC2:blockMachine3:8, ic2.blockLathe
IC2:blockLuminatorDark, ic2.blockLuminatorDark.name
IC2:blockLuminator, ic2.blockLuminator.name
IC2:blockMiningPipe, ic2.blockMiningPipe.name
IC2:blockMiningTip, ic2.blockMiningTip.name
IC2:blockPersonal:0, ic2.blockPersonalChest
IC2:blockPersonal:1, ic2.blockPersonalTrader
IC2:blockPersonal:2, ic2.blockPersonalTraderEnergy
IC2:blockITNT, ic2.blockITNT.name
IC2:blockNuke, ic2.blockNuke.name
IC2:blockDynamite, ic2.blockDynamite.name
IC2:blockDynamiteRemote, ic2.blockDynamiteRemote.name
IC2:blockCrop, ic2.blockCrop.name
IC2:blockBarrel, ic2.blockBarrel.name
IC2:fluidUuMatter, ic2.fluidUuMatter.name
IC2:fluidConstructionFoam, ic2.fluidConstructionFoam.name
IC2:fluidCoolant, ic2.fluidCoolant.name
IC2:fluidHotCoolant, ic2.fluidHotCoolant.name
IC2:fluidPahoehoeLava, ic2.fluidPahoehoeLava.name
IC2:fluidBiomass, ic2.fluidBiomass.name
IC2:fluidBiogas, ic2.fluidBiogas.name
IC2:fluidDistilledWater, ic2.fluidDistilledWater.name
IC2:fluidSuperheatedSteam, ic2.fluidSuperheatedSteam.name
IC2:fluidSteam, ic2.fluidSteam.name
IC2:fluidHotWater, ic2.fluidHotWater.name
Railcraft:fluid.creosote, Creosote
Railcraft:fluid.steam, Steam
Railcraft:residual.heat, Residual Heat
Railcraft:cube:0, Block of Coal Coke
Railcraft:cube:9, Block of Copper
Railcraft:cube:10, Block of Tin
Railcraft:cube:11, Block of Lead
Railcraft:cube:2, Block of Steel
Railcraft:cube:1, Block of Concrete
Railcraft:cube:8, Creosote Wood Block
Railcraft:cube:4, Crushed Obsidian
Railcraft:cube:6, Abyssal Stone
Railcraft:cube:7, Quarried Stone
Railcraft:anvil:0, Steel Anvil
Railcraft:anvil:1, Slightly Damaged Anvil
Railcraft:anvil:2, Very Damaged Anvil
Railcraft:machine.alpha:7, Coke Oven Brick
Railcraft:machine.alpha:12, Blast Furnace Brick
Railcraft:machine.alpha:3, Steam Oven
Railcraft:machine.alpha:14, Water Tank Siding
Railcraft:machine.alpha:8, Rolling Machine
Railcraft:machine.alpha:15, Rock Crusher
Railcraft:machine.alpha:11, Feed Station
Railcraft:machine.alpha:6, Trade Station
Railcraft:machine.alpha:0, World Anchor
Railcraft:machine.alpha:2, Personal Anchor
Railcraft:machine.alpha:13, Passive Anchor
Railcraft:machine.alpha:4, Admin Anchor
Railcraft:machine.alpha:1, Steam Turbine Housing
Railcraft:machine.alpha:5, Smoker
Railcraft:machine.alpha:9, Manual Steam Trap
Railcraft:machine.alpha:10, Automated Steam Trap
Railcraft:machine.beta:0, Iron Tank Wall
Railcraft:machine.beta:1, Iron Tank Gauge
Railcraft:machine.beta:2, Iron Tank Valve
Railcraft:machine.beta:13, Steel Tank Wall
Railcraft:machine.beta:14, Steel Tank Gauge
Railcraft:machine.beta:15, Steel Tank Valve
Railcraft:machine.beta:5, Solid Fueled Boiler Firebox
Railcraft:machine.beta:6, Liquid Fueled Boiler Firebox
Railcraft:machine.beta:3, Low Pressure Boiler Tank
Railcraft:machine.beta:4, High Pressure Boiler Tank
Railcraft:machine.beta:7, Hobbyist's Steam Engine
Railcraft:machine.beta:8, Commercial Steam Engine
Railcraft:machine.beta:9, Industrial Steam Engine
Railcraft:machine.beta:10, Anchor Sentinel
Railcraft:machine.beta:11, Void Chest
Railcraft:machine.beta:12, Metals Chest
Railcraft:track:4767, Switch Track
Railcraft:track:2144, Wye Track
Railcraft:track:0, Junction Track
Railcraft:track:0, Control Track
Railcraft:track:20176, Locking Track
Railcraft:track:23575, Disembarking Track
Railcraft:track:0, Embarking Track
Railcraft:track:0, Coupler Track
Railcraft:track:0, Whistle Track
Railcraft:track:30516, Locomotive Track
Railcraft:track:16093, Limiter Track
Railcraft:track:0, Routing Track
Railcraft:track:32363, Buffer Stop Track
Railcraft:track:30946, One-Way Track
Railcraft:track:0, Directional Detector Track
Railcraft:track:0, Gated One-Way Track
Railcraft:track:19746, Gated Track
Railcraft:track:0, Suspended Track
Railcraft:track:2264, Disposal Track
Railcraft:track:736, Wooden Track
Railcraft:track:0, Wooden Booster Track
Railcraft:track:0, Wooden Junction Track
Railcraft:track:19986, Wooden Switch Track
Railcraft:track:0, Wooden Wye Track
Railcraft:track:0, Reinforced Track
Railcraft:track:0, Reinforced Booster Track
Railcraft:track:764, Reinforced Junction Track
Railcraft:track:0, Reinforced Switch Track
Railcraft:track:0, Reinforced Wye Track
Railcraft:track:0, Electric Track
Railcraft:track:0, Electric Junction Track
Railcraft:track:10488, Electric Switch Track
Railcraft:track:0, Electric Wye Track
Railcraft:track:816, H.S. Track
Railcraft:track:0, H.S. Booster Track
Railcraft:track:26865, H.S. Transition Track
Railcraft:track:7916, H.S. Switch Track
Railcraft:track:0, H.S. Wye Track
Railcraft:track:8103, Priming Track
Railcraft:track:0, Launcher Track
Railcraft:track.elevator, Elevator Track
Railcraft:signal:4, Switch Lever
Railcraft:signal:2, Switch Motor
Railcraft:signal:5, Routing Switch Motor
Railcraft:signal:3, Block Signal
Railcraft:signal:11, Distant Signal
Railcraft:signal:1, Dual-Head Block Signal
Railcraft:signal:12, Dual-Head Distant Signal
Railcraft:signal:13, Signal Block Relay Box
Railcraft:signal:8, Signal Receiver Box
Railcraft:signal:9, Signal Controller Box
Railcraft:signal:10, Analog Signal Controller Box
Railcraft:signal:7, Signal Capacitor Box
Railcraft:signal:6, Signal Sequencer Box
Railcraft:signal:0, Signal Interlock Box
Railcraft:stair:3, Snow Stairs
Railcraft:stair:4, Ice Stairs
Railcraft:stair:5, Packed Ice Stairs
Railcraft:stair:6, Iron Stairs
Railcraft:stair:43, Steel Stairs
Railcraft:stair:40, Copper Stairs
Railcraft:stair:41, Tin Stairs
Railcraft:stair:42, Lead Stairs
Railcraft:stair:7, Gold Stairs
Railcraft:stair:8, Diamond Stairs
Railcraft:stair:39, Obsidian Stairs
Railcraft:stair:2, Concrete Stairs
Railcraft:stair:38, Creosote Block Stairs
Railcraft:stair:13, Abyssal Brick Stairs
Railcraft:stair:20, Fitted Abyssal Stone Stairs
Railcraft:stair:28, Abyssal Block Stairs
Railcraft:stair:36, Abyssal Cobble Stairs
Railcraft:stair:1, Infernal Brick Stairs
Railcraft:stair:15, Fitted Infernal Stone Stairs
Railcraft:stair:23, Infernal Block Stairs
Railcraft:stair:31, Infernal Cobble Stairs
Railcraft:stair:12, Blood Stained Brick Stairs
Railcraft:stair:19, Fitted Blood Stained Stone Stairs
Railcraft:stair:27, Blood Stained Block Stairs
Railcraft:stair:35, Blood Stained Cobble Stairs
Railcraft:stair:0, Sandy Brick Stairs
Railcraft:stair:14, Fitted Sandy Stone Stairs
Railcraft:stair:22, Sandy Block Stairs
Railcraft:stair:30, Sandy Cobble Stairs
Railcraft:stair:11, Bleached Bone Brick Stairs
Railcraft:stair:18, Fitted Bleached Bone Stone Stairs
Railcraft:stair:26, Bleached Bone Block Stairs
Railcraft:stair:34, Bleached Bone Cobble Stairs
Railcraft:stair:21, Fitted Nether Stone Stairs
Railcraft:stair:29, Nether Block Stairs
Railcraft:stair:37, Nether Cobble Stairs
Railcraft:stair:10, Quarried Brick Stairs
Railcraft:stair:17, Fitted Quarried Stone Stairs
Railcraft:stair:25, Quarried Block Stairs
Railcraft:stair:33, Quarried Cobble Stairs
Railcraft:stair:9, Frost Bound Brick Stairs
Railcraft:stair:16, Fitted Frost Bound Stone Stairs
Railcraft:stair:24, Frost Bound Block Stairs
Railcraft:stair:32, Frost Bound Cobble Stairs
Railcraft:slab:3, Snow Slab
Railcraft:slab:4, Ice Slab
Railcraft:slab:5, Packed Ice Slab
Railcraft:slab:6, Iron Slab
Railcraft:slab:43, Steel Slab
Railcraft:slab:40, Copper Slab
Railcraft:slab:41, Tin Slab
Railcraft:slab:42, Lead Slab
Railcraft:slab:7, Gold Slab
Railcraft:slab:8, Diamond Slab
Railcraft:slab:39, Obsidian Slab
Railcraft:slab:2, Concrete Slab
Railcraft:slab:38, Creosote Block Slab
Railcraft:slab:13, Abyssal Brick Slab
Railcraft:slab:20, Fitted Abyssal Stone Slab
Railcraft:slab:28, Abyssal Block Slab
Railcraft:slab:36, Abyssal Cobble Slab
Railcraft:slab:1, Infernal Brick Slab
Railcraft:slab:15, Fitted Infernal Stone Slab
Railcraft:slab:23, Infernal Block Slab
Railcraft:slab:31, Infernal Cobble Slab
Railcraft:slab:12, Blood Stained Brick Slab
Railcraft:slab:19, Fitted Blood Stained Stone Slab
Railcraft:slab:27, Blood Stained Block Slab
Railcraft:slab:35, Blood Stained Cobble Slab
Railcraft:slab:0, Sandy Brick Slab
Railcraft:slab:14, Fitted Sandy Stone Slab
Railcraft:slab:22, Sandy Block Slab
Railcraft:slab:30, Sandy Cobble Slab
Railcraft:slab:11, Bleached Bone Brick Slab
Railcraft:slab:18, Fitted Bleached Bone Stone Slab
Railcraft:slab:26, Bleached Bone Block Slab
Railcraft:slab:34, Bleached Bone Cobble Slab
Railcraft:slab:21, Fitted Nether Stone Slab
Railcraft:slab:29, Nether Block Slab
Railcraft:slab:37, Nether Cobble Slab
Railcraft:slab:10, Quarried Brick Slab
Railcraft:slab:17, Fitted Quarried Stone Slab
Railcraft:slab:25, Quarried Block Slab
Railcraft:slab:33, Quarried Cobble Slab
Railcraft:slab:9, Frost Bound Brick Slab
Railcraft:slab:16, Fitted Frost Bound Stone Slab
Railcraft:slab:24, Frost Bound Block Slab
Railcraft:slab:32, Frost Bound Cobble Slab
Railcraft:lantern.stone:0, Abyssal Stone Lantern
Railcraft:lantern.stone:1, Bleached Bone Stone Lantern
Railcraft:lantern.stone:2, Blood Stained Stone Lantern
Railcraft:lantern.stone:3, Frostbound Stone Lantern
Railcraft:lantern.stone:4, Infernal Stone Lantern
Railcraft:lantern.stone:5, Nether Stone Lantern
Railcraft:lantern.stone:6, Quarried Stone Lantern
Railcraft:lantern.stone:7, Sandy Stone Lantern
Railcraft:lantern.stone:8, Sandstone Lantern
Railcraft:lantern.stone:9, Stone Lantern
Railcraft:lantern.metal:0, Iron Lantern
Railcraft:lantern.metal:1, Gold Lantern
Railcraft:lantern.metal:2, Copper Lantern
Railcraft:lantern.metal:3, Tin Lantern
Railcraft:lantern.metal:4, Lead Lantern
Railcraft:lantern.metal:5, Steel Lantern
Railcraft:brick.abyssal:0, Abyssal Brick
Railcraft:brick.abyssal:1, Fitted Abyssal Stone
Railcraft:brick.abyssal:2, Abyssal Block
Railcraft:brick.abyssal:3, Ornate Abyssal Stone
Railcraft:brick.abyssal:4, Etched Abyssal Stone
Railcraft:brick.abyssal:5, Abyssal Cobblestone
Railcraft:brick.bleachedbone:0, Bleached Bone Brick
